municipio,apropiaciondolar,consejocomunal,ejecucion,uribista,pctopo,priorizado,poblacioncienmil,nbi
m56,0,0,0,,46.36174393,0,0.07240600139,34.27000046
m57,0,0,0,,14.73872375,0,0.04555400088,28.26000023
m58,33.98270798,0,0,1,29.99700928,0,2.658963919,9.239999771
m59,0,0,0,1,11.8258667,0,0.4165259898,62.43999863
m60,0,1,0,1,7.522522449,0,0.165350005,24.25
m61,1.683162093,0,0,0,34.96855545,0,0.1681599915,27.63999939
m62,4.190608501,0,0,1,16.74503326,1,0.4864419997,13.75
m63,0,0,0,0,36.00904846,0,0.5451760292,11.65999985
m64,33.98270798,0,0,0,30.65198898,0,0.1019700021,37.63000107
m65,4.190608501,0,0,0,44.44372177,1,0.1963479966,18.43000031
m66,2.591057777,0,0,1,12.0851059,0,0.09852000326,35.22999954
m67,28.83281708,0,0,0,8.314606667,1,0.08110800385,35.41999817
m68,5.633717537,0,0,0,8.281515121,1,0.4173080027,14.35999966
m69,0,0,0,,67.66756439,1,0.08937799931,33.97000122
m70,8.094789505,0,0,0,14.12529469,0,0.1620820016,60.70000076
m71,2.192192316,0,0,1,5.358385563,0,0.1463640034,34.11000061
m72,17.55037498,0,0,1,1.454015017,1,0.4276379943,77.76000214
m73,2.75799036,0,0,0,61.78156281,1,0.1209840029,68.09999847
m74,0,0,0,1,12.4625845,0,0.02694199979,40.63000107
m75,0,0,0,1,33.55299377,0,0.1750459969,21.53000069
m76,0,0,0,0,56.03469467,0,0.1043180004,74.48999786
m77,1.683162093,0,0,,45.22971344,0,0.1029659957,30.02000046
m78,78.67324829,1,0,0,3.932291746,0,0.3903599977,38.47000122
m79,49.84043503,0,0,0,5.239852428,1,0.1335519999,31.81999969
m80,55.47415161,0,0,1,2.10678196,0,0.1413439959,33.65999985
m81,2.009392977,0,0,,32.84883881,0,0.1846340001,47.54999924
m82,0,0,0,0,40.18933487,0,0.1796800047,12.21000004
m83,0,0,0,0,5.064291954,0,0.9572060108,12.31000042
m84,0,0,0,1,14.33018303,0,0.09082999825,60.27999878
m85,0,0,0,1,16.41109276,0,0.4061799943,6.840000153
m86,2.363991737,0,0,0,38.02287674,0,0.1786600053,38.58000183
m87,0,0,0,0,5.923595428,1,0.1021619961,37.24000168
m88,0,0,0,,14.93555737,0,0.2099300027,29.93000031
m89,0,0,0,,74.90280914,0,0.09803199768,49.40999985
m90,33.68893814,0,0,1,44.08546829,0,0.1145960018,34.40000153
m91,0,0,0,1,10.52792549,1,0.03780400008,21.52000046
m92,17.55037498,0,0,0,4.204368114,0,0.2243219912,75.59999847
m93,0,0,0,1,5.279034615,0,0.1551399976,32.88000107
m94,0,0,0,1,5.626662254,0,0.2271939963,18.82999992
m95,0,0,1,1,5.120053291,0,0.3282499909,73.88999939
m96,0,0,0,1,19.56896591,0,0.1779320091,34.74000168
m97,28.83281708,0,0,1,22.94444466,1,0.1962639987,38.11999893
m98,0,0,0,,18.80132484,0,0.2412559986,29.93000031
m99,33.98270798,0,0,0,75.56256866,1,0.2542520165,28.71999931
m100,33.98270798,0,0,1,1.348113179,0,0.2684839964,23.51000023
m101,0,0,0,,10.97142887,1,0.1231300011,29.06999969
m102,0.7879972458,0,0,1,4.997149944,0,0.2628700137,20.68000031
m103,2.009392977,0,0,1,48.26498413,0,0.408235997,41.31999969
m104,2.192192316,1,0,0,16.89033127,1,0.4145379961,33.95000076
m105,0,0,0,0,65.86322784,0,0.1207100004,33.70999908
m106,0,0,0,1,19.41233063,0,0.168930009,28.23999977
m107,0,0,0,1,46.25115204,0,0.3109180033,62.59999847
m108,1.683162093,0,0,0,80.17579651,0,0.06920199841,37.50999832
m109,0,0,0,0,51.83165741,0,0.1148599982,27.78000069
m110,0,0,0,1,20.37819862,0,0.09926799685,50.47000122
m111,25.64516449,1,0,1,8.352700233,1,1.222962022,67.37999725
m112,8.094789505,0,0,,56.99011612,0,0.08557200432,63.59000015
m113,0,0,0,0,31.65374756,0,0.4251599908,37.13999939
m114,33.98270798,0,0,0,47.62039566,0,0.1285500079,54.49000168
m115,0,0,0,1,22.79898262,1,0.07776399702,26.65999985
m116,2.009392977,0,0,,46.04166794,1,0.1659660041,46.33000183
m117,0,0,0,1,55.90270615,0,0.1388099939,25.65999985
m118,0,0,0,0,9.375,0,0.08982999623,44.93999863
m119,68.9016037,0,0,0,8.610487938,0,0.3576659858,27.80999947
